Wavelength,Flux,BestFit,SkyFlux
3794.023,41.905,18.933,0.000
3794.897,41.893,18.990,0.000
3795.771,41.881,20.737,0.000
3796.645,41.868,22.279,0.000
3797.519,41.856,26.091,0.000
3798.394,41.844,28.897,0.000
3799.269,41.832,28.726,0.000
3800.144,41.819,28.575,0.000
3801.019,41.807,32.301,0.000
3801.894,41.795,37.304,0.000
3802.769,41.783,36.743,0.000
3803.645,41.771,33.306,0.000
3804.521,41.758,36.872,0.000
3805.397,41.746,40.566,0.000
3806.274,41.734,35.995,0.000
3807.150,41.722,37.437,0.000
3808.027,41.710,35.813,0.000
3808.904,41.698,35.683,0.000
3809.781,41.686,33.737,0.000
3810.658,41.674,32.967,0.000
3811.536,41.662,36.695,0.000
3812.414,41.650,34.980,0.000
3813.291,41.638,29.742,0.000
3814.170,41.626,30.417,0.000
3815.048,41.614,27.836,0.000
3815.926,41.602,24.293,0.000
3816.805,41.590,24.976,7.762
3817.684,41.578,17.321,7.510
3818.563,52.572,17.010,7.168
3819.443,57.882,20.327,6.730
3820.322,59.315,22.184,6.491
3821.202,49.029,20.091,6.688
3822.082,36.555,16.555,7.047
3822.962,33.973,18.771,6.861
3823.843,33.392,22.971,5.681
3824.723,33.866,27.322,4.145
3825.604,35.716,29.808,3.312
3826.485,38.002,30.190,3.849
3827.366,41.997,30.042,5.405
3828.247,44.435,31.304,7.122
3829.129,38.355,35.243,8.243
3830.011,33.934,37.163,8.732
3830.893,39.504,39.826,8.974
3831.775,43.990,42.939,8.859
3832.657,39.790,43.206,8.205
3833.540,40.690,41.150,7.274
3834.423,43.825,36.990,6.668
3835.306,43.260,36.738,6.430
3836.189,41.926,36.781,6.160
3837.072,41.817,36.572,5.627
3837.956,39.309,38.087,5.062
3838.840,37.449,38.133,5.060
3839.724,38.328,37.932,5.678
3840.608,37.991,37.107,6.204
3841.493,39.446,37.276,6.191
3842.377,42.169,35.510,5.918
3843.262,40.563,31.518,5.743
3844.147,40.581,35.295,5.813
3845.032,42.898,37.781,6.157
3845.918,37.997,36.814,6.684
3846.803,32.635,34.091,6.929
3847.689,36.373,33.008,6.512
3848.575,39.296,33.598,6.081
3849.462,40.620,29.898,6.052
3850.348,41.616,27.256,6.150
3851.235,44.379,29.811,6.062
3852.122,42.487,28.803,5.869
3853.009,34.825,25.166,5.757
3853.896,32.077,23.509,5.723
3854.784,36.211,16.689,5.518
3855.671,38.662,18.206,5.089
3856.559,61.220,24.834,4.620
3857.447,70.485,27.884,4.180
3858.336,74.869,24.267,3.975
3859.224,49.964,18.251,3.943
3860.113,36.858,16.496,4.059
3861.002,36.540,17.618,4.236
3861.891,37.701,20.222,4.422
3862.780,40.572,23.825,4.574
3863.670,41.004,26.818,4.682
3864.560,35.526,29.605,4.889
3865.449,38.907,36.238,5.030
3866.340,34.020,37.521,5.140
3867.230,41.379,35.362,4.987
3868.121,36.931,37.176,4.586
3869.011,34.937,39.163,4.037
3869.902,41.971,36.942,3.413
3870.793,44.686,41.339,2.858
3871.685,40.698,40.162,2.641
3872.576,40.978,39.618,3.097
3873.468,42.612,40.882,4.186
3874.360,40.520,43.743,5.195
3875.252,41.289,46.030,5.541
3876.145,36.823,42.342,5.301
3877.037,34.317,42.292,4.895
3877.930,40.582,43.955,4.514
3878.823,37.305,43.674,4.179
3879.717,35.140,41.730,3.964
3880.610,42.911,40.545,3.788
3881.504,43.878,40.410,3.615
3882.398,45.430,41.841,3.581
3883.292,36.267,39.160,3.489
3884.186,47.051,39.898,3.649
3885.080,42.128,43.491,4.083
3885.975,39.518,43.751,4.579
3886.870,37.139,44.689,5.088
3887.765,35.083,44.810,5.317
3888.660,41.680,48.533,5.342
3889.556,80.744,56.616,5.275
3890.451,144.682,64.445,5.168
3891.347,164.332,66.149,4.960
3892.243,126.315,60.778,4.465
3893.140,63.520,50.529,3.998
3894.036,45.746,43.747,3.742
3894.933,36.903,38.998,4.137
3895.830,38.137,35.749,4.755
3896.727,41.626,36.913,5.013
3897.625,39.167,42.014,4.719
3898.522,36.038,41.406,4.336
3899.420,36.876,38.624,4.432
3900.318,35.217,36.236,4.986
3901.216,38.418,34.800,5.678
3902.114,41.443,34.040,5.434
3903.013,34.601,33.600,5.202
3903.912,41.975,33.646,5.247
3904.811,42.727,29.590,5.758
3905.710,35.589,28.488,6.734
3906.609,32.673,29.114,8.017
3907.509,32.763,24.808,8.876
3908.409,34.906,20.890,8.816
3909.309,57.145,24.659,7.995
3910.209,104.380,37.303,7.597
3911.110,144.382,46.343,8.342
3912.010,142.290,44.095,9.428
3912.911,86.259,33.518,10.010
3913.812,49.818,23.937,10.140
3914.714,34.095,23.030,9.712
3915.615,31.354,23.895,8.618
3916.517,36.299,24.029,7.497
3917.419,38.997,23.872,7.082
3918.321,39.030,25.036,7.055
3919.223,37.340,29.064,6.421
3920.126,42.549,30.557,5.090
3921.029,43.653,31.108,4.093
3921.931,43.640,32.623,3.812
3922.835,38.175,35.954,4.240
3923.738,36.225,39.497,4.832
3924.642,40.477,39.540,5.153
3925.545,43.108,40.136,5.037
3926.449,40.274,35.048,4.660
3927.354,39.161,35.338,4.329
3928.258,43.364,39.655,4.097
3929.163,42.206,38.065,3.816
3930.067,43.188,37.029,3.516
3930.972,38.032,39.455,3.356
3931.878,40.108,42.474,3.684
3932.783,40.031,42.157,3.926
3933.689,33.317,40.196,3.872
3934.595,35.393,40.216,3.463
3935.501,46.006,39.794,3.043
3936.407,44.165,38.545,2.974
3937.314,38.106,41.325,3.503
3938.220,40.593,42.100,4.315
3939.127,36.884,39.999,4.936
3940.034,32.637,39.193,5.271
3940.942,37.084,38.060,5.581
3941.849,36.473,37.812,6.127
3942.757,37.563,37.362,6.545
3943.665,40.898,37.073,6.549
3944.573,40.039,38.160,6.326
3945.481,36.383,39.860,6.304
3946.390,35.028,38.785,6.469
3947.299,42.261,40.034,6.518
3948.208,33.591,36.799,6.330
3949.117,42.452,36.624,5.929
3950.026,38.001,38.480,6.026
3950.936,37.296,34.893,6.614
3951.846,33.553,31.467,7.113
3952.756,32.952,32.214,6.956
3953.666,37.408,27.768,6.256
3954.577,37.391,22.326,5.695
3955.487,36.317,19.121,5.555
3956.398,30.827,18.046,5.436
3957.309,34.646,21.847,5.053
3958.221,34.123,23.338,4.890
3959.132,35.116,25.871,5.164
3960.044,41.716,31.725,5.524
3960.956,38.763,36.255,5.547
3961.868,34.130,35.571,5.097
3962.780,37.887,37.037,4.467
3963.693,39.868,39.559,4.005
3964.606,33.666,37.585,3.839
3965.519,32.509,36.381,3.676
3966.432,38.829,37.944,3.315
3967.345,37.488,38.600,2.771
3968.259,31.054,37.609,2.501
3969.173,38.759,39.464,2.569
3970.087,37.092,38.191,2.783
3971.001,36.412,36.981,2.966
3971.915,35.842,38.006,3.141
3972.830,33.871,38.885,3.484
3973.745,36.843,37.589,4.095
3974.660,39.205,36.079,4.815
3975.575,39.958,37.129,5.391
3976.491,38.258,36.024,5.675
3977.407,41.947,34.649,6.020
3978.323,41.081,36.938,6.440
3979.239,35.422,35.600,6.687
3980.155,42.979,33.921,6.521
3981.072,42.311,33.284,6.232
3981.988,40.424,34.978,6.014
3982.905,46.348,35.371,6.053
3983.823,39.429,31.777,5.951
3984.740,39.258,30.740,5.790
3985.658,37.762,26.582,5.619
3986.576,35.828,25.122,5.387
3987.494,38.078,24.042,5.551
3988.412,48.153,21.288,6.068
3989.330,59.665,18.550,6.293
3990.249,67.679,17.920,6.002
3991.168,84.601,20.875,5.476
3992.087,108.740,30.339,5.166
3993.006,120.758,36.183,5.267
3993.926,109.093,32.008,5.602
3994.846,62.175,22.613,5.806
3995.766,36.790,18.527,5.417
3996.686,32.261,17.552,5.137
3997.606,30.787,19.360,5.383
3998.527,35.742,21.726,5.923
3999.447,37.386,24.044,6.479
4000.369,36.379,27.116,6.722
4001.290,36.417,30.212,6.464
4002.211,37.216,33.000,6.134
4003.133,36.354,32.579,6.359
4004.055,30.890,32.622,6.827
4004.977,31.275,33.780,6.602
4005.899,38.395,33.288,5.852
4006.822,33.393,32.578,5.882
4007.744,37.613,36.009,6.380
4008.667,36.073,36.285,6.913
4009.590,36.667,35.380,7.226
4010.514,37.824,37.094,7.182
4011.437,37.882,40.626,7.035
4012.361,39.932,40.466,7.443
4013.285,35.949,36.981,7.942
4014.209,33.469,39.015,7.556
4015.134,34.767,40.989,7.161
4016.058,34.936,40.189,7.361
4016.983,37.643,39.401,6.907
4017.908,35.538,37.098,6.177
4018.833,38.348,34.880,6.044
4019.759,37.672,37.827,6.640
4020.685,36.018,38.915,7.550
4021.610,38.056,37.972,8.260
4022.537,37.718,39.988,8.206
4023.463,39.706,40.120,7.633
4024.389,37.785,40.789,7.390
4025.316,39.105,41.305,7.545
4026.243,36.942,39.434,7.687
4027.170,33.639,37.516,7.506
4028.098,35.323,37.520,6.845
4029.025,34.902,34.131,6.069
4029.953,35.468,37.665,5.594
4030.881,35.607,40.560,5.660
4031.809,33.279,40.165,6.252
4032.738,34.729,38.722,6.697
4033.667,35.890,38.799,6.179
4034.596,36.580,39.585,5.303
4035.525,33.156,39.169,5.445
4036.454,35.612,40.843,6.297
4037.383,36.538,40.625,6.649
4038.313,35.345,39.486,6.725
4039.243,33.811,41.469,6.936
4040.173,33.637,41.722,7.134
4041.104,33.424,38.209,7.145
4042.034,33.570,38.988,7.380
4042.965,35.273,39.830,7.930
4043.896,32.310,39.486,8.187
4044.827,35.724,40.739,8.422
4045.759,36.698,39.826,9.991
4046.691,34.119,37.920,15.037
4047.622,35.038,38.336,19.682
4048.555,41.045,39.453,18.670
4049.487,41.407,40.509,13.783
4050.419,42.018,41.663,9.517
4051.352,40.285,40.790,7.799
4052.285,31.043,41.542,7.422
4053.218,32.650,40.231,6.867
4054.152,36.181,38.601,6.780
4055.085,33.963,38.270,7.571
4056.019,35.882,38.396,7.570
4056.953,34.013,38.546,6.813
4057.887,35.381,40.834,5.944
4058.822,37.612,40.548,5.815
4059.757,37.492,40.999,6.476
4060.692,36.908,42.072,7.120
4061.627,37.542,40.900,7.070
4062.562,37.309,41.391,6.899
4063.498,35.290,41.932,7.403
4064.433,35.761,40.680,7.579
4065.369,37.409,39.336,7.110
4066.305,34.631,39.855,6.814
4067.242,38.038,40.939,6.834
4068.178,34.449,37.897,7.172
4069.115,34.945,35.067,7.295
4070.052,40.290,35.611,7.053
4070.990,38.488,39.628,6.661
4071.927,34.006,42.467,6.427
4072.865,36.966,40.932,6.502
4073.803,37.234,41.158,6.451
4074.741,34.293,40.150,5.862
4075.679,35.832,38.578,5.828
4076.618,34.804,38.311,7.352
4077.557,35.329,39.292,9.014
4078.496,38.076,39.878,9.325
4079.435,36.273,39.557,8.435
4080.374,37.503,39.491,7.654
4081.314,37.026,39.377,7.741
4082.254,32.098,38.313,8.223
4083.194,33.816,37.990,8.106
4084.134,38.257,40.559,7.048
4085.075,33.964,42.585,6.472
4086.015,33.245,37.972,6.608
4086.956,37.319,37.228,6.913
