Wavelength,Flux,BestFit,SkyFlux
3795.771,5.652,9.270,0.000
3796.645,5.651,9.127,0.000
3797.519,5.651,9.074,0.000
3798.394,5.651,9.424,0.000
3799.269,5.651,8.887,0.000
3800.144,5.651,8.606,0.000
3801.019,5.651,8.973,0.000
3801.894,5.650,9.148,0.000
3802.769,5.650,8.786,0.000
3803.645,5.650,8.792,0.000
3804.521,5.650,8.553,0.000
3805.397,5.650,8.419,0.000
3806.274,5.650,8.209,0.000
3807.150,5.650,8.272,0.000
3808.027,5.649,8.556,0.000
3808.904,5.649,8.309,0.000
3809.781,5.649,8.721,0.000
3810.658,5.649,8.651,0.000
3811.536,5.649,8.257,0.000
3812.414,5.649,8.034,0.000
3813.291,5.649,7.931,0.000
3814.170,5.648,7.588,0.000
3815.048,5.648,7.987,0.000
3815.926,5.648,7.771,10.465
3816.805,5.648,7.055,10.471
3817.684,5.628,6.870,8.190
3818.563,9.061,7.237,8.083
3819.443,11.728,6.791,7.836
3820.322,5.413,6.462,7.631
3821.202,4.042,6.876,7.323
3822.082,5.997,7.084,6.899
3822.962,6.769,6.964,6.560
3823.843,6.165,6.998,6.295
3824.723,6.270,7.215,6.116
3825.604,4.094,7.110,6.122
3826.485,4.762,7.509,6.248
3827.366,8.340,7.876,6.506
3828.247,5.146,7.753,6.980
3829.129,4.942,7.460,7.889
3830.011,9.749,7.564,9.105
3830.893,4.276,7.076,10.240
3831.775,6.440,6.872,11.234
3832.657,7.597,6.587,10.791
3833.540,8.050,6.033,9.933
3834.423,7.860,5.741,9.032
3835.306,11.878,6.258,8.191
3836.189,16.283,6.307,7.642
3837.072,10.006,6.046,7.387
3837.956,6.922,5.887,7.206
3838.840,5.765,5.897,6.959
3839.724,7.988,5.923,6.518
3840.608,8.968,5.940,6.325
3841.493,4.985,6.304,6.241
3842.377,6.780,6.991,6.231
3843.262,6.210,7.124,6.391
3844.147,4.278,7.297,6.947
3845.032,8.094,7.905,7.657
3845.918,9.331,7.924,7.954
3846.803,11.037,8.339,7.292
3847.689,9.568,8.703,5.330
3848.575,8.835,8.954,4.584
3849.462,6.096,9.117,5.150
3850.348,9.300,9.284,6.330
3851.235,9.811,9.507,6.965
3852.122,5.639,9.247,6.689
3853.009,8.600,9.530,5.844
3853.896,15.711,9.582,4.965
3854.784,8.649,9.299,4.449
3855.671,9.790,8.945,4.487
3856.559,14.726,8.437,4.765
3857.447,6.103,8.551,4.527
3858.336,9.419,8.119,3.580
3859.224,16.026,7.961,2.506
3860.113,9.441,7.914,2.097
3861.002,3.731,7.679,2.697
3861.891,7.666,7.943,3.914
3862.780,10.238,7.904,4.972
3863.670,11.530,7.595,5.244
3864.560,5.929,7.372,4.975
3865.449,11.595,7.602,4.450
3866.340,7.717,7.976,4.243
3867.230,10.702,7.719,4.300
3868.121,5.852,7.962,4.476
3869.011,5.712,8.281,4.425
3869.902,7.409,8.219,4.160
3870.793,6.692,8.016,3.947
3871.685,9.604,7.946,3.477
3872.576,5.443,7.737,3.722
3873.468,7.702,7.408,4.581
3874.360,12.075,7.442,5.281
3875.252,5.705,7.505,5.513
3876.145,4.899,7.786,5.262
3877.037,11.731,8.342,4.945
3877.930,12.882,8.494,4.630
3878.823,8.956,8.591,4.154
3879.717,8.507,9.254,3.268
3880.610,9.620,9.537,2.897
3881.504,6.800,9.495,2.972
3882.398,5.401,9.647,3.990
3883.292,7.483,9.694,4.636
3884.186,5.705,9.283,4.774
3885.080,10.959,8.918,4.302
3885.975,10.727,8.325,3.787
3886.870,6.461,7.952,3.565
3887.765,5.330,8.070,3.683
3888.660,7.059,7.842,3.798
3889.556,6.560,7.307,3.666
3890.451,3.372,7.544,3.381
3891.347,7.843,7.925,3.437
3892.243,9.255,8.280,3.880
3893.140,7.518,8.669,4.133
3894.036,7.806,8.752,4.025
3894.933,9.129,8.992,3.845
3895.830,11.629,9.059,3.686
3896.727,8.666,9.350,3.806
3897.625,6.474,9.534,4.112
3898.522,11.963,9.178,4.427
3899.420,7.629,8.806,4.906
3900.318,8.789,9.072,5.262
3901.216,8.733,8.315,5.136
3902.114,4.244,8.063,4.928
3903.013,9.190,8.148,5.025
3903.912,9.416,7.738,5.644
3904.811,6.416,7.641,6.824
3905.710,6.339,8.044,8.176
3906.609,8.462,7.860,9.133
3907.509,8.379,8.071,9.565
3908.409,3.774,8.469,9.728
3909.309,7.098,8.646,9.523
3910.209,12.579,9.370,8.816
3911.110,9.526,9.794,8.584
3912.010,8.511,9.613,8.437
3912.911,13.450,9.805,8.263
3913.812,15.460,10.109,8.133
3914.714,12.613,10.058,7.444
3915.615,11.179,10.265,6.324
3916.517,11.311,10.405,5.587
3917.419,9.048,10.465,5.707
3918.321,10.898,10.358,6.489
3919.223,12.305,10.148,6.639
3920.126,12.949,10.036,5.979
3921.029,12.480,10.122,5.156
3921.931,10.885,10.030,4.800
3922.835,10.121,9.527,5.146
3923.738,8.743,9.620,5.530
3924.642,7.409,9.872,5.644
3925.545,8.741,9.584,5.310
3926.449,9.713,9.463,4.482
3927.354,11.530,9.680,3.820
3928.258,9.496,9.648,3.629
3929.163,10.195,9.804,3.647
3930.067,12.144,9.984,3.806
3930.972,10.020,9.918,3.582
3931.878,10.604,9.984,3.373
3932.783,11.108,9.926,3.548
3933.689,8.900,9.739,3.988
3934.595,7.712,9.474,4.468
3935.501,7.509,9.412,4.125
3936.407,10.538,9.479,3.384
3937.314,10.490,9.061,3.108
3938.220,10.349,8.646,3.661
3939.127,13.510,8.370,4.894
3940.034,9.457,8.343,6.124
3940.942,7.625,8.642,6.992
3941.849,9.267,9.049,7.266
3942.757,10.408,9.062,6.917
3943.665,10.530,8.859,6.267
3944.573,8.511,8.864,5.733
3945.481,10.008,8.602,5.794
3946.390,8.577,8.329,6.381
3947.299,9.655,8.458,6.905
3948.208,9.661,8.647,6.524
3949.117,9.154,8.898,6.140
3950.026,7.584,9.274,6.335
3950.936,8.892,9.803,6.567
3951.846,9.540,10.019,6.277
3952.756,9.656,9.774,5.686
3953.666,15.808,9.733,5.465
3954.577,7.692,9.629,5.635
3955.487,6.967,10.024,5.659
3956.398,10.105,10.320,5.431
3957.309,11.195,10.341,5.434
3958.221,9.030,10.321,5.403
3959.132,11.777,10.358,5.286
3960.044,11.846,10.640,5.210
3960.956,9.676,10.421,4.980
3961.868,10.553,10.361,4.383
3962.780,10.400,10.339,3.587
3963.693,11.525,9.832,3.225
3964.606,10.635,9.096,3.559
3965.519,7.590,8.639,3.892
3966.432,6.545,8.201,3.488
3967.345,9.183,7.958,2.909
3968.259,8.203,7.837,2.779
3969.173,8.230,7.831,3.185
3970.087,10.942,8.249,3.574
3971.001,11.121,8.545,3.329
3971.915,9.486,9.181,2.609
3972.830,9.494,9.826,4.010
3973.745,9.766,10.040,4.824
3974.660,13.450,10.031,5.284
3975.575,10.977,10.546,5.445
3976.491,8.518,10.902,5.490
3977.407,9.720,10.712,5.585
3978.323,10.524,10.495,5.518
3979.239,9.852,10.169,5.414
3980.155,9.716,9.477,5.524
3981.072,10.496,8.781,5.627
3981.988,10.329,8.214,5.355
3982.905,7.241,7.507,5.101
3983.823,6.594,7.276,5.616
3984.740,9.005,7.987,6.401
3985.658,5.680,9.217,6.341
3986.576,9.489,9.997,6.143
3987.494,12.667,11.126,6.004
3988.412,10.953,12.044,6.159
3989.330,12.957,13.145,6.336
3990.249,17.643,13.667,6.266
3991.168,14.338,13.144,5.464
3992.087,11.641,12.856,4.743
3993.006,12.980,12.342,5.297
3993.926,9.871,11.334,6.553
3994.846,9.676,9.770,6.602
3995.766,9.592,8.156,5.750
3996.686,8.952,7.032,4.967
3997.606,9.045,6.423,4.698
3998.527,7.248,6.349,4.937
3999.447,6.361,6.216,5.653
4000.369,11.243,6.588,6.397
4001.290,9.291,7.091,6.539
4002.211,3.853,7.401,6.389
4003.133,10.822,8.256,6.187
4004.055,9.936,8.535,6.016
4004.977,7.792,8.812,6.078
4005.899,7.788,8.928,6.378
4006.822,5.851,8.617,6.742
4007.744,8.170,8.089,6.980
4008.667,11.560,7.882,7.097
4009.590,8.165,7.524,7.241
4010.514,8.840,7.103,7.518
4011.437,4.542,6.805,7.645
4012.361,8.127,6.564,7.697
4013.285,11.652,6.327,7.515
4014.209,8.348,6.404,8.130
4015.134,8.575,7.159,7.809
4016.058,8.376,7.945,7.396
4016.983,6.318,8.598,6.670
4017.908,8.383,9.319,5.975
4018.833,11.067,9.876,6.164
4019.759,7.147,9.621,7.189
4020.685,9.420,9.780,7.951
4021.610,12.246,9.765,7.902
4022.537,7.614,9.210,8.114
4023.463,11.466,8.833,7.961
4024.389,9.111,9.025,7.556
4025.316,7.977,8.904,6.911
4026.243,11.967,9.106,6.379
4027.170,10.829,9.057,6.707
4028.098,6.318,8.946,7.717
4029.025,8.209,9.057,8.118
4029.953,11.505,9.269,7.061
4030.881,10.537,9.169,6.618
4031.809,11.965,9.068,6.708
4032.738,9.086,8.968,6.666
4033.667,8.332,8.700,6.546
4034.596,9.279,8.568,6.383
4035.525,9.697,8.868,6.132
4036.454,11.078,9.255,6.334
4037.383,12.154,9.430,7.090
4038.313,10.419,9.614,7.615
