#Table1
objid,ra,dec,u,g,r,i,z
1237651758284999319,270.00047971351,0.00299723797180513,21.71885,19.80074,18.92815,18.56197,18.28493
1237651758284999317,270.000683875077,0.00379192855675463,19.12505,17.33891,16.45144,16.02683,15.72931
1237651758285000990,270.004056364147,0.00157525571480888,21.13378,19.27078,18.37541,17.97933,17.69651
1237651758284996827,269.996605701874,0.00319841051694395,21.57011,19.58764,18.79525,18.42547,18.22117
1237651758284999332,270.004117139224,0.00564105267499225,19.24092,17.48754,16.69331,16.35028,16.12469
1237651758284996820,269.995377542116,0.00572430511119484,20.81287,19.147,18.40957,17.99715,17.68434
1237651758284999388,270.008044223844,0.00125300924190337,20.60309,19.12947,18.3838,18.05298,17.81411
1237651758284996814,269.992728713072,0.00494805628433434,22.02819,19.07792,17.97037,17.44409,17.04026
1237651758284999320,270.004172100746,0.00807737952897301,22.07427,19.82018,18.97638,18.59667,18.32332
1237651758284996806,269.993675734068,0.00885350745442452,19.55755,17.44263,16.1676,15.58734,15.3131
1237651758284996810,269.99023983792,0.00596212964210542,20.1599,17.96042,16.98517,16.58734,16.32458
1237651758284999312,269.999266293344,0.0115415381154416,23.41891,20.20353,18.97051,18.46971,18.14928
1237651758284996808,269.987571393666,0.00422952677850295,19.39876,17.31217,16.25227,15.77084,15.4546
1237651758284996809,269.986153973248,0.0020096507518084,21.11722,18.20091,17.01362,16.51521,16.18429
1237651758284996826,269.986805122775,0.00645675741489848,21.28122,19.57376,18.7602,18.41253,18.17412
1237651758284997764,270.013484114259,0.00584728616341597,21.3417,19.51953,18.75935,18.40071,18.1605
1237651758284997762,270.015031594651,0.000109431842039681,20.718,19.3209,18.5286,18.20876,17.97747
1237651758284996805,269.985054291693,0.0016110544060379,17.57965,15.70379,14.83279,14.48186,14.27198
1237651758285001032,270.011449368063,0.0106461796404263,22.46722,19.99376,18.86071,18.3649,18.05453
1237651758284996823,269.983926606242,0.00317202425237532,20.80367,19.47276,18.67377,18.27638,18.0415
1237651758284997690,270.006304127296,0.0156323161721455,17.85667,15.54247,14.43041,16.45018,13.62155
1237651758284997696,270.009401521146,0.0140302462315989,21.5174,19.7443,18.87298,18.56205,18.30795
1237651758284996821,269.984015923575,0.00734206177275367,23.01158,20.23269,18.77768,18.14232,17.72444
1237651758284996829,269.98300229752,0.00506947816651888,21.2187,19.68617,18.98189,18.60418,18.38059
