objid,ra,dec,u,g,r,i,z
1237645879580098737,55.296197,1.271692059,20.19055,20.11118,20.00373,19.53674,19.36661
1237645942898230097,40.57934753,0.182010169,23.45758,22.32698,22.15744,21.56657,21.87843
1237645942898230126,40.58493097,0.131274697,23.345,22.46375,22.20341,22.19646,22.22472
1237645942905110842,56.23423672,0.222159911,21.17304,20.64075,19.95168,19.27204,18.99716
1237645942905634929,57.40576555,0.099944725,19.77834,19.44656,19.15773,18.91358,18.71619
1237645942905700553,57.64725302,0.030695217,19.73663,19.48033,19.04813,18.85011,18.79915
1237645942905831442,57.82499868,0.215608938,17.68028,17.3205,17.16499,17.08666,17.03985
1237645942905831607,57.86669858,0.070676792,20.30761,19.95674,19.73228,19.46771,19.39429
1237645942905831654,57.91702376,0.175591828,20.28233,20.04276,19.50676,19.43649,19.3802
1237645942905962575,58.17545939,0.218693316,19.34624,19.09172,18.66225,18.58851,18.65512
1237645942906028511,58.35516345,0.079548924,24.50399,21.89656,21.12607,20.7896,20.36045
1237645942906290310,58.87217412,0.13531426,20.2801,19.81987,19.28402,19.06928,18.48087
1237645943435034762,40.32648179,0.491397105,20.30489,20.02613,19.74698,19.79885,19.73606
1237645943435034915,40.29276807,0.553101041,23.48249,23.01491,22.80345,22.55349,21.82381
1237645943435035137,40.31036809,0.452889896,23.66777,23.60163,22.30137,22.24249,22.42271
1237645943973609503,44.24428244,0.913229825,19.38883,19.2833,18.96885,18.96005,19.03716
1237645943973609574,44.21829148,0.937379513,20.27152,20.21046,19.82113,19.67883,19.82376
1237645943973675184,44.4673976,0.886468321,20.32895,20.06154,19.79319,19.56744,19.18334
1237645943973675270,44.37640527,1.038384509,21.31694,20.67584,20.6267,20.53176,20.30923
1237645943976493295,50.79422354,0.904795198,20.94212,20.48714,19.95873,19.99516,19.89583
1237645943976493342,50.77751636,0.883237402,21.52237,21.05847,20.50931,19.93393,19.59518
1237645943976493356,50.78634111,0.994652926,20.93726,20.27721,20.01422,19.56212,19.38114
1237645943976820842,51.54032847,1.046267357,19.7476,19.23413,18.78611,18.65315,18.61118
1237645943977607393,53.43295318,1.045758952,25.10526,24.6763,23.32887,22.82823,22.63741
1237645943978328209,54.98832977,0.921200662,20.09477,19.9256,19.66302,19.55558,19.50878
1237645943978328358,55.0681787,0.996424197,20.85471,20.58056,20.12276,20.05264,20.4247
1237645943978459453,55.33150901,1.026751946,20.45276,20.21883,20.02234,19.93445,19.5923
1237645943978590227,55.57762158,0.99588678,21.32385,21.01363,20.54219,20.35094,20.28425
1237645943978590732,55.60705131,0.898803371,24.64965,21.20683,19.7995,19.24613,18.85657
1237645943978590809,55.64577143,1.0323853,22.80087,22.06453,21.5993,21.36042,21.90353
1237645943978590924,55.7026543,0.9844295,25.22741,22.74426,21.08157,20.23543,19.60675
1237645943978655930,55.71857387,0.948253525,20.81916,20.3254,20.16768,19.91787,19.73781
