#Table1
bin,Column1
 0.00 - 0.07,607
 0.07 - 0.14,2812
 0.14 - 0.21,4044
 0.21 - 0.28,4804
 0.28 - 0.35,3973
 0.35 - 0.42,4481
 0.42 - 0.49,6623
 0.49 - 0.56,7562
 0.56 - 0.63,8419
 0.63 - 0.70,9695
 0.70 - 0.77,11408
 0.77 - 0.84,11289
 0.84 - 0.91,10450
 0.91 - 0.98,7497
 0.98 - 1.05,6958
 1.05 - 1.12,6473
 1.12 - 1.19,6558
 1.19 - 1.26,6795
 1.26 - 1.33,6942
 1.33 - 1.40,6597
 1.40 - 1.47,7040
 1.47 - 1.54,7821
 1.54 - 1.61,8589
 1.61 - 1.68,8236
 1.68 - 1.75,7514
 1.75 - 1.82,6907
 1.82 - 1.89,6417
 1.89 - 1.96,6303
 1.96 - 2.03,6408
 2.03 - 2.10,7066
 2.10 - 2.17,10525
 2.17 - 2.24,17793
 2.24 - 2.31,20547
 2.31 - 2.38,19210
 2.38 - 2.45,17305
 2.45 - 2.52,14460
 2.52 - 2.59,12630
 2.59 - 2.66,10650
 2.66 - 2.73,8661
 2.73 - 2.80,7139
 2.80 - 2.87,6312
 2.87 - 2.94,5936
 2.94 - 3.01,5699
 3.01 - 3.08,5347
 3.08 - 3.15,4710
 3.15 - 3.22,4373
 3.22 - 3.29,3475
 3.29 - 3.36,2837
 3.36 - 3.43,1688
 3.43 - 3.50,1074
 3.50 - 3.57,978
 3.57 - 3.64,1230
 3.64 - 3.71,1182
 3.71 - 3.78,1099
 3.78 - 3.85,918
 3.85 - 3.92,725
 3.92 - 3.99,508
 3.99 - 4.06,413
 4.06 - 4.13,351
 4.13 - 4.20,240
 4.20 - 4.27,192
 4.27 - 4.34,171
 4.34 - 4.41,142
 4.41 - 4.48,107
 4.48 - 4.55,91
 4.55 - 4.62,88
 4.62 - 4.69,86
 4.69 - 4.76,88
 4.76 - 4.83,87
 4.83 - 4.90,63
 4.90 - 4.97,64
 4.97 - 5.04,42
 5.04 - 5.11,47
 5.11 - 5.18,37
 5.18 - 5.25,37
 5.25 - 5.32,30
 5.32 - 5.39,17
 5.39 - 5.46,18
 5.46 - 5.53,19
 5.53 - 5.60,27
 5.60 - 5.67,50
 5.67 - 5.74,57
 5.74 - 5.81,33
 5.81 - 5.88,32
 5.88 - 5.95,20
 5.95 - 6.02,15
 6.02 - 6.09,173
 6.09 - 6.16,122
 6.16 - 6.23,26
 6.23 - 6.30,10
 6.30 - 6.37,13
 6.37 - 6.44,18
 6.44 - 6.51,34
 6.51 - 6.58,20
 6.58 - 6.65,39
 6.65 - 6.72,9
 6.72 - 6.79,5
 6.79 - 6.86,6
 6.86 - 6.93,13
 6.93 - 7.00,63
> 7.0,125
