Wavelength,Flux,BestFit,SkyFlux
3558.771,14.194,4.383,5.216
3559.590,-7.141,4.396,5.155
3560.410,7.637,4.442,5.049
3561.230,7.439,4.469,4.962
3562.050,-0.443,4.476,4.756
3562.870,17.679,4.506,4.563
3563.691,-5.569,4.566,4.346
3564.511,8.386,4.586,4.075
3565.332,7.494,4.579,3.861
3566.153,5.288,4.615,3.668
3566.974,5.315,4.645,3.461
3567.796,-1.902,4.648,3.253
3568.617,6.045,4.722,3.066
3569.439,9.487,4.739,2.910
3570.261,12.854,4.724,2.862
3571.083,4.339,4.769,2.947
3571.906,0.679,4.841,2.954
3572.728,12.259,4.880,3.088
3573.551,-2.650,4.908,3.198
3574.374,7.551,4.859,3.160
3575.197,3.696,4.940,2.985
3576.021,3.927,4.977,2.589
3576.844,8.634,4.971,2.731
3577.668,1.688,5.037,3.104
3578.492,0.912,5.105,3.353
3579.316,0.925,5.043,3.155
3580.140,5.744,5.076,2.391
3580.964,8.632,5.097,1.857
3581.789,6.610,5.060,2.025
3582.614,3.662,5.049,2.615
3583.439,2.187,5.105,2.984
3584.264,-3.842,5.095,2.793
3585.089,5.135,5.145,2.196
3585.915,6.793,5.165,1.659
3586.741,2.020,5.151,1.547
3587.567,5.246,5.166,1.682
3588.393,0.707,5.201,1.894
3589.219,10.718,5.237,2.018
3590.046,7.927,5.260,2.185
3590.873,2.352,5.289,2.293
3591.700,2.448,5.310,2.353
3592.527,4.024,5.316,2.358
3593.354,5.592,5.347,2.340
3594.181,2.994,5.356,2.187
3595.009,8.847,5.368,2.212
3595.837,8.895,5.425,2.040
3596.665,7.169,5.465,2.166
3597.493,11.805,5.444,2.307
3598.322,1.834,5.448,2.475
3599.150,6.689,5.494,2.702
3599.979,3.432,5.519,2.869
3600.808,3.203,5.522,2.912
3601.638,7.522,5.544,2.749
3602.467,7.836,5.592,2.637
3603.297,11.911,5.585,2.583
3604.126,6.030,5.493,2.364
3604.956,7.914,5.541,2.235
3605.786,7.106,5.599,2.043
3606.617,6.168,5.552,1.936
3607.447,10.815,5.474,1.975
3608.278,1.225,5.532,2.080
3609.109,4.086,5.571,2.129
3609.940,6.988,5.444,2.102
3610.771,4.449,5.392,2.077
3611.603,4.518,5.387,2.091
3612.435,9.871,5.307,2.105
3613.267,4.456,5.269,2.194
3614.099,6.972,5.226,2.385
3614.931,7.506,5.220,2.737
3615.763,6.799,5.214,3.506
3616.596,4.877,5.179,4.326
3617.429,4.022,5.125,4.795
3618.262,13.540,5.071,4.726
3619.095,7.798,5.033,4.192
3619.929,8.164,4.990,3.715
3620.762,3.707,4.911,3.872
3621.596,0.262,4.865,4.042
3622.430,7.512,4.886,4.027
3623.264,-0.275,4.844,3.899
3624.099,-0.208,4.693,3.869
3624.933,0.603,4.724,3.942
3625.768,4.189,4.705,3.684
3626.603,8.492,4.615,3.313
3627.438,8.715,4.580,3.086
3628.273,8.921,4.564,3.101
3629.109,5.932,4.593,3.235
3629.945,4.126,4.517,3.237
3630.781,6.221,4.447,3.608
3631.617,8.326,4.434,4.101
3632.453,6.273,4.409,4.223
3633.289,4.572,4.330,4.061
3634.126,3.725,4.350,4.078
3634.963,1.876,4.330,4.590
3635.800,1.619,4.265,4.658
3636.637,6.180,4.200,4.443
3637.475,10.495,4.162,4.452
3638.313,1.940,4.152,4.400
3639.150,2.717,4.168,4.195
3639.988,6.062,4.157,3.996
3640.827,7.700,4.109,4.312
3641.665,6.139,4.034,4.342
3642.504,3.474,3.972,4.291
3643.343,5.165,3.959,4.440
3644.182,0.109,3.906,4.640
3645.021,3.879,3.906,4.246
3645.860,4.334,3.932,3.679
3646.700,2.097,3.947,3.381
3647.539,5.620,3.943,3.199
3648.379,3.253,3.919,3.495
3649.220,10.766,3.896,4.383
3650.060,5.786,3.913,5.704
3650.901,1.282,3.896,6.875
3651.741,2.631,3.874,7.128
3652.582,3.124,3.873,5.928
3653.423,6.294,3.795,4.762
3654.265,0.017,3.695,4.444
3655.106,4.297,3.704,4.939
3655.948,7.247,3.763,5.468
3656.790,4.522,3.778,5.033
3657.632,3.817,3.740,4.378
3658.474,2.860,3.723,3.988
3659.317,5.708,3.715,3.851
3660.159,5.275,3.736,3.887
3661.002,3.166,3.724,3.961
3661.845,4.477,3.676,4.039
3662.689,6.787,3.637,4.391
3663.532,0.546,3.622,4.907
3664.376,10.649,3.606,5.063
3665.220,5.838,3.623,4.584
3666.064,-1.568,3.608,3.823
3666.908,1.613,3.572,3.436
3667.752,7.702,3.552,3.200
3668.597,3.213,3.518,2.826
3669.442,4.168,3.529,2.658
3670.287,5.176,3.561,2.805
3671.132,3.841,3.543,3.079
3671.977,3.204,3.527,2.738
3672.823,5.119,3.544,2.443
3673.669,4.807,3.498,2.612
3674.515,4.566,3.509,2.828
3675.361,3.386,3.530,2.754
3676.207,2.038,3.504,2.404
3677.054,1.778,3.469,2.267
3677.901,2.880,3.461,2.362
3678.748,3.825,3.434,2.391
3679.595,2.323,3.470,2.453
3680.442,2.293,3.435,2.481
3681.290,4.231,3.421,2.421
3682.137,5.096,3.427,2.261
3682.985,4.087,3.392,2.029
3683.834,6.398,3.355,1.938
3684.682,6.226,3.415,2.146
3685.530,3.434,3.434,2.477
3686.379,3.473,3.421,2.566
3687.228,4.270,3.402,2.218
3688.077,2.431,3.370,1.884
3688.926,5.527,3.319,1.873
3689.776,7.310,3.321,2.049
3690.626,4.225,3.338,2.388
3691.476,2.555,3.367,2.833
3692.326,3.458,3.372,3.167
3693.176,3.259,3.343,3.262
3694.026,2.985,3.331,3.176
3694.877,2.379,3.273,2.855
3695.728,2.439,3.303,2.630
3696.579,1.998,3.318,2.846
3697.430,1.722,3.291,3.277
3698.282,2.115,3.287,3.537
3699.133,0.423,3.314,4.114
3699.985,2.354,3.291,4.661
3700.837,1.751,3.281,4.749
3701.690,0.904,3.249,4.366
3702.542,1.494,3.229,4.071
3703.395,2.450,3.251,4.028
3704.248,4.066,3.242,4.156
3705.101,3.590,3.247,3.740
3705.954,3.953,3.245,3.333
3706.807,3.399,3.252,3.054
3707.661,2.642,3.257,3.034
3708.515,2.893,3.253,3.327
3709.369,0.703,3.256,3.755
3710.223,4.010,3.253,3.404
3711.077,6.869,3.201,3.011
3711.932,5.095,3.167,3.135
3712.787,1.941,3.200,3.437
3713.642,0.901,3.247,3.715
3714.497,-2.075,3.203,3.866
3715.352,1.851,3.199,3.811
3716.208,3.494,3.192,3.397
3717.064,3.000,3.177,3.166
3717.920,3.217,3.168,2.943
3718.776,4.063,3.164,2.569
3719.632,3.536,3.133,2.239
3720.489,4.488,3.124,2.082
3721.346,1.856,3.126,2.135
3722.203,2.943,3.117,2.281
3723.060,6.239,3.104,2.317
3723.917,4.627,3.119,2.284
3724.775,3.332,3.173,2.450
3725.632,1.584,3.161,2.933
3726.490,2.447,3.127,3.784
3727.348,1.832,3.108,3.930
3728.207,1.896,3.113,3.751
3729.065,5.197,3.117,3.826
3729.924,2.299,3.100,4.037
3730.783,2.541,3.122,3.990
3731.642,5.533,3.123,3.646
3732.502,1.955,3.092,3.472
3733.361,-0.235,3.088,3.654
3734.221,6.968,3.108,3.832
3735.081,2.401,3.052,3.603
3735.941,2.973,3.073,3.365
3736.801,3.586,3.096,3.356
3737.662,6.183,3.069,3.356
3738.523,7.236,3.029,3.474
3739.383,2.492,3.048,3.894
3740.245,1.881,3.123,4.490
3741.106,3.820,3.074,4.922
3741.967,3.013,3.045,4.900
3742.829,4.026,3.043,4.434
3743.691,4.637,3.058,4.081
3744.553,1.384,3.099,4.088
3745.415,3.991,3.141,3.702
3746.278,3.339,3.124,3.392
3747.141,3.292,3.103,3.417
3748.004,3.362,3.068,3.468
3748.867,3.868,3.065,2.761
3749.730,5.303,3.113,2.520
3750.594,3.901,3.121,3.001
3751.457,2.917,3.140,3.314
3752.321,2.499,3.100,3.295
3753.185,1.022,3.051,3.122
3754.050,0.487,3.083,3.230
3754.914,3.012,3.167,3.604
3755.779,3.932,3.145,4.164
3756.644,2.630,3.143,4.079
3757.509,2.933,3.138,3.424
3758.374,4.074,3.133,2.913
3759.240,3.490,3.107,2.786
3760.105,1.976,3.078,2.848
3760.971,4.350,3.127,3.320
3761.837,1.699,3.132,2.846
3762.704,2.538,3.072,2.572
3763.570,4.362,3.066,2.508
3764.437,3.175,3.110,2.556
3765.304,1.487,3.126,2.487
3766.171,5.146,3.123,2.416
3767.038,2.216,3.152,2.477
3767.905,0.530,3.090,2.554
3768.773,0.600,3.077,2.510
3769.641,3.048,3.110,2.472
3770.509,6.304,3.105,2.477
3771.377,1.604,3.105,2.506
3772.246,4.111,3.119,2.679
3773.115,4.733,3.081,3.312
3773.984,4.527,3.071,3.527
3774.853,4.740,3.082,3.095
3775.722,3.618,3.075,2.844
3776.591,2.240,3.087,3.011
3777.461,0.229,3.069,3.224
3778.331,2.697,3.082,3.384
3779.201,2.974,3.085,3.365
3780.071,1.238,3.076,3.308
3780.942,2.760,3.085,3.028
3781.813,3.001,3.106,2.837
3782.683,3.199,3.149,3.048
3783.555,3.784,3.077,3.244
3784.426,5.593,3.031,2.992
3785.297,5.699,3.046,3.216
3786.169,2.469,3.070,3.311
3787.041,2.604,3.112,2.919
3787.913,2.058,3.122,2.499
3788.785,2.956,3.088,2.442
3789.658,2.717,3.102,2.696
3790.531,2.354,3.129,2.783
3791.403,3.830,3.081,3.209
3792.277,2.121,3.010,3.435
3793.150,1.996,3.054,3.259
3794.023,2.219,3.009,3.118
3794.897,2.969,3.033,3.087
3795.771,3.485,3.067,2.891
3796.645,2.582,3.014,2.843
3797.519,2.257,3.045,2.815
3798.394,5.578,3.033,2.363
3799.269,3.733,2.977,2.001
3800.144,2.716,3.029,2.040
