#Table1
specObjID,bestObjId,z
7700261017888681984,1237657591932584167,0.2900445
5061050741646094336,1237664835921380570,0.5900085
4294199929746419712,1237654601556754907,0.8900054
1803787360568109056,1237661950244946032,1.190017
1790317790972897280,1237661383304872361,1.490007
782607674582788096,1237666339726557409,1.790008
7505402267773366272,1237661435383578988,2.090005
6100138440941826048,1237664291543843133,2.390001
7290372977182044160,1237667210527769285,2.690017
7452535824564547584,1237661872943203045,2.990008
